member_id,arm,is_exclude,K,group_id,group_label,rep_hat,mu,w,is_priored,signed_dev,abs_dev,N_mix,N_post,N_tot,psi_hat,log_N_mix,N_mix_over_w,log_N_mix_over_w
1,include,0.0,0.1,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0.252616726111087,0.5,1.0,0,-0.247383273888913,0.247383273888913,230.0,184.0,414.0,0.5555555555555556,5.442417710521793,230.0,7.851749041416057
1,include,0.0,0.1,6,RTTP / PHID.2/PL.ALL.2,0.438897871086862,0.5,1.0,0,-0.06110212891313799,0.06110212891313799,46.0,1.0,47.0,0.9787234042553191,3.8501476017100584,46.0,5.554588851677638
1,include,0.0,0.1,7,RTTP / PS.2,0.515777638235011,0.4962,354.5,1,0.01957763823501102,0.01957763823501102,320.0,2.0,322.0,0.9937888198757764,5.771441123130016,0.9026798307475318,0.9826196156854129
1,include,0.0,0.1,10,RTTP / PS.WEST.3,0.597987327933572,0.5121,739.2,1,0.08588732793357201,0.08588732793357201,254.0,44.0,298.0,0.8523489932885906,5.541263545158426,0.3436147186147186,0.838705961770709
1,include,0.0,0.1,13,PTTP/pooled / PHID.2/PL.ALL.2,0.778421486409459,0.5,1.0,0,0.27842148640945896,0.27842148640945896,122.0,7.0,129.0,0.9457364341085271,4.812184355372417,122.0,6.94251450533924
1,include,0.0,0.1,14,PTTP/pooled / PS.2,0.500816409939551,0.4962,354.5,1,0.004616409939551036,0.004616409939551036,5.0,1.0,6.0,0.8333333333333334,1.791759469228055,0.014104372355430184,0.3050569110022798
1,include,0.0,0.1,17,PTTP/pooled / PS.WEST.3,0.809647631421786,0.5121,739.2,1,0.297547631421786,0.297547631421786,2430.0,1037.0,3467.0,0.7008941447937699,7.796057974316123,3.287337662337662,1.1799836351551962
1,include,0.0,0.1,18,PTTP/pooled / PS.EAST.3,0.846064056553572,0.5282,231.2,1,0.31786405655357197,0.31786405655357197,2214.0,903.0,3117.0,0.710298363811357,7.703007682479236,9.576124567474048,1.41401883371719
1,include,0.0,0.1,19,JPTP / LL.WEST.1,0.75036663902388,0.5,1.0,0,0.25036663902388,0.25036663902388,16.0,43.0,59.0,0.2711864406779661,2.833213344056216,16.0,4.08746284125034
1,include,0.0,0.1,20,JPTP / LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0.220375954441657,0.5,1.0,0,-0.27962404555834297,0.27962404555834297,0.0,10.0,10.0,0.0,0.0,0.0,0.0
1,include,0.0,0.1,23,JPTP / PS.JP.1/PL.JP.1,0.600773069511072,0.5,1.0,0,0.10077306951107201,0.10077306951107201,327.0,45.0,372.0,0.8790322580645161,5.793013608384144,327.0,8.357552004618084
1,include,0.0,0.1,29,JPTP / PS.WEST.3,0.146474262203534,0.5,1.0,0,-0.353525737796466,0.353525737796466,18.0,0.0,18.0,1.0,2.9444389791664403,18.0,4.247927513443585
2,exclude,1.0,0.2,1,RTTP/PTTP/pooled / LL.WEST.1/LL.EAST.1/LL.ALL.2/LL.OS.2/LL.ARCH.3/LL.WEST.3/LL.EAST.3/LL.OS.3/LL.ALL.5,0.245383608638379,0.5,1.0,0,-0.254616391361621,0.254616391361621,162.0,252.0,414.0,0.391304347826087,5.093750200806762,162.0,7.348728154231078
2,exclude,1.0,0.2,6,RTTP / PHID.2/PL.ALL.2,0.674426172796461,0.5,1.0,0,0.174426172796461,0.174426172796461,45.0,2.0,47.0,0.9574468085106383,3.828641396489095,45.0,5.523561956057013
