member_id,group_id,fitted,target,deviation,arm,K,tau,M0,h,creep,age_length_total,survey_index_total,catch_total,length_total
1,7,0.515777638235011,0.4962,0.01957763823501102,include,0.1,1.3,0.0883028515366027,0.916195781737906,0.005,3578.68640699919,-1067.2647620273,0.0,89023.3767932428
1,10,0.597987327933572,0.5121,0.08588732793357201,include,0.1,1.3,0.0883028515366027,0.916195781737906,0.005,3578.68640699919,-1067.2647620273,0.0,89023.3767932428
1,14,0.500816409939551,0.4962,0.004616409939551036,include,0.1,1.3,0.0883028515366027,0.916195781737906,0.005,3578.68640699919,-1067.2647620273,0.0,89023.3767932428
1,17,0.809647631421786,0.5121,0.297547631421786,include,0.1,1.3,0.0883028515366027,0.916195781737906,0.005,3578.68640699919,-1067.2647620273,0.0,89023.3767932428
1,18,0.846064056553572,0.5282,0.31786405655357197,include,0.1,1.3,0.0883028515366027,0.916195781737906,0.005,3578.68640699919,-1067.2647620273,0.0,89023.3767932428
2,7,0.674622335825264,0.4962,0.178422335825264,exclude,0.2,1.2,0.0703495861059744,0.952715284757023,0.005,3597.49479591516,-1070.522181469,0.0,80732.0282376478
2,10,0.580808881019583,0.5121,0.06870888101958295,exclude,0.2,1.2,0.0703495861059744,0.952715284757023,0.005,3597.49479591516,-1070.522181469,0.0,80732.0282376478
2,14,0.499431112574793,0.4962,0.003231112574793027,exclude,0.2,1.2,0.0703495861059744,0.952715284757023,0.005,3597.49479591516,-1070.522181469,0.0,80732.0282376478
2,17,0.762999992752251,0.5121,0.25089999275225106,exclude,0.2,1.2,0.0703495861059744,0.952715284757023,0.005,3597.49479591516,-1070.522181469,0.0,80732.0282376478
2,18,0.874687147302763,0.5282,0.346487147302763,exclude,0.2,1.2,0.0703495861059744,0.952715284757023,0.005,3597.49479591516,-1070.522181469,0.0,80732.0282376478
4,7,0.675444526402901,0.4962,0.179244526402901,exclude,0.15,1.2,0.108344057614506,0.929467540089388,0.025,3499.7319333074,-1070.0903247209,0.0,84845.4080049656
4,10,0.619489531088471,0.5121,0.10738953108847105,exclude,0.15,1.2,0.108344057614506,0.929467540089388,0.025,3499.7319333074,-1070.0903247209,0.0,84845.4080049656
4,14,0.504028447775373,0.4962,0.00782844777537306,exclude,0.15,1.2,0.108344057614506,0.929467540089388,0.025,3499.7319333074,-1070.0903247209,0.0,84845.4080049656
4,17,0.849999238035065,0.5121,0.33789923803506505,exclude,0.15,1.2,0.108344057614506,0.929467540089388,0.025,3499.7319333074,-1070.0903247209,0.0,84845.4080049656
4,18,0.965999653487233,0.5282,0.43779965348723304,exclude,0.15,1.2,0.108344057614506,0.929467540089388,0.025,3499.7319333074,-1070.0903247209,0.0,84845.4080049656
5,7,0.525186371171466,0.4962,0.028986371171466074,include,0.3,1.2,0.0779226059697055,0.823450060401092,0.015,3486.3117401395,-1046.433780691,0.0,90047.8750937039
5,10,0.542810914471951,0.5121,0.030710914471950956,include,0.3,1.2,0.0779226059697055,0.823450060401092,0.015,3486.3117401395,-1046.433780691,0.0,90047.8750937039
5,14,0.50230898142452,0.4962,0.006108981424519988,include,0.3,1.2,0.0779226059697055,0.823450060401092,0.015,3486.3117401395,-1046.433780691,0.0,90047.8750937039
5,17,0.691287255868484,0.5121,0.17918725586848405,include,0.3,1.2,0.0779226059697055,0.823450060401092,0.015,3486.3117401395,-1046.433780691,0.0,90047.8750937039
5,18,0.693391848241827,0.5282,0.16519184824182698,include,0.3,1.2,0.0779226059697055,0.823450060401092,0.015,3486.3117401395,-1046.433780691,0.0,90047.8750937039
6,7,0.503843362725139,0.4962,0.007643362725138991,include,0.25,1.2,0.0648330299057559,0.900847118561344,0.005,3604.74283702582,-1050.1338442431,0.0,79844.2505587789
6,10,0.524219451782672,0.5121,0.012119451782672042,include,0.25,1.2,0.0648330299057559,0.900847118561344,0.005,3604.74283702582,-1050.1338442431,0.0,79844.2505587789
6,14,0.499868203313451,0.4962,0.003668203313451024,include,0.25,1.2,0.0648330299057559,0.900847118561344,0.005,3604.74283702582,-1050.1338442431,0.0,79844.2505587789
6,17,0.645623143180552,0.5121,0.13352314318055203,include,0.25,1.2,0.0648330299057559,0.900847118561344,0.005,3604.74283702582,-1050.1338442431,0.0,79844.2505587789
6,18,0.683040429202125,0.5282,0.15484042920212504,include,0.25,1.2,0.0648330299057559,0.900847118561344,0.005,3604.74283702582,-1050.1338442431,0.0,79844.2505587789
7,7,0.538169298607315,0.4962,0.04196929860731502,include,0.35,1.4,0.0986141793473077,0.914621909616371,0.005,3529.6526444603,-1044.5456677953,0.0,83567.4365084129
7,10,0.580206961431909,0.5121,0.06810696143190897,include,0.35,1.4,0.0986141793473077,0.914621909616371,0.005,3529.6526444603,-1044.5456677953,0.0,83567.4365084129
7,14,0.506814676980902,0.4962,0.010614676980902016,include,0.35,1.4,0.0986141793473077,0.914621909616371,0.005,3529.6526444603,-1044.5456677953,0.0,83567.4365084129
7,17,0.771804304134308,0.5121,0.259704304134308,include,0.35,1.4,0.0986141793473077,0.914621909616371,0.005,3529.6526444603,-1044.5456677953,0.0,83567.4365084129
7,18,0.859078745996807,0.5282,0.330878745996807,include,0.35,1.4,0.0986141793473077,0.914621909616371,0.005,3529.6526444603,-1044.5456677953,0.0,83567.4365084129
8,7,0.523488901349429,0.4962,0.027288901349429073,include,0.15,1.4,0.0849554955455468,0.866396629481641,0.01,3636.29495028931,-1068.5168038395,0.0,80555.9085722517
8,10,0.57842145190409,0.5121,0.06632145190409,include,0.15,1.4,0.0849554955455468,0.866396629481641,0.01,3636.29495028931,-1068.5168038395,0.0,80555.9085722517
8,14,0.497680143545701,0.4962,0.0014801435457010292,include,0.15,1.4,0.0849554955455468,0.866396629481641,0.01,3636.29495028931,-1068.5168038395,0.0,80555.9085722517
8,17,0.769700829715055,0.5121,0.25760082971505505,include,0.15,1.4,0.0849554955455468,0.866396629481641,0.01,3636.29495028931,-1068.5168038395,0.0,80555.9085722517
8,18,0.820906355090945,0.5282,0.292706355090945,include,0.15,1.4,0.0849554955455468,0.866396629481641,0.01,3636.29495028931,-1068.5168038395,0.0,80555.9085722517
9,7,0.664442257262865,0.4962,0.168242257262865,exclude,0.2,1.3,0.0895217029940766,0.879444249940166,0.01,3590.70112031304,-1058.3600020393,0.0,79222.4702361625
9,10,0.589548432398616,0.5121,0.07744843239861599,exclude,0.2,1.3,0.0895217029940766,0.879444249940166,0.01,3590.70112031304,-1058.3600020393,0.0,79222.4702361625
9,14,0.502300012818316,0.4962,0.0061000128183160696,exclude,0.2,1.3,0.0895217029940766,0.879444249940166,0.01,3590.70112031304,-1058.3600020393,0.0,79222.4702361625
9,17,0.783536561531795,0.5121,0.27143656153179496,exclude,0.2,1.3,0.0895217029940766,0.879444249940166,0.01,3590.70112031304,-1058.3600020393,0.0,79222.4702361625
9,18,0.906237595314663,0.5282,0.37803759531466297,exclude,0.2,1.3,0.0895217029940766,0.879444249940166,0.01,3590.70112031304,-1058.3600020393,0.0,79222.4702361625
10,7,0.65733034379612,0.4962,0.16113034379612,exclude,0.3,1.4,0.106788860563374,0.802381509931566,0.02,3599.65661027573,-1036.2923692655,0.0,80422.2422963174
10,10,0.576159383024191,0.5121,0.06405938302419101,exclude,0.3,1.4,0.106788860563374,0.802381509931566,0.02,3599.65661027573,-1036.2923692655,0.0,80422.2422963174
10,14,0.509767883510887,0.4962,0.013567883510887002,exclude,0.3,1.4,0.106788860563374,0.802381509931566,0.02,3599.65661027573,-1036.2923692655,0.0,80422.2422963174
10,17,0.804987041285525,0.5121,0.292887041285525,exclude,0.3,1.4,0.106788860563374,0.802381509931566,0.02,3599.65661027573,-1036.2923692655,0.0,80422.2422963174
10,18,0.920664181398801,0.5282,0.392464181398801,exclude,0.3,1.4,0.106788860563374,0.802381509931566,0.02,3599.65661027573,-1036.2923692655,0.0,80422.2422963174
11,7,0.660472767271178,0.4962,0.164272767271178,exclude,0.1,1.4,0.0718897340504598,0.888738301598888,0.01,3857.5507940731,-1185.039542763,0.0,80678.4445703403
11,10,0.616633014207114,0.5121,0.10453301420711403,exclude,0.1,1.4,0.0718897340504598,0.888738301598888,0.01,3857.5507940731,-1185.039542763,0.0,80678.4445703403
11,14,0.500879902501402,0.4962,0.0046799025014020446,exclude,0.1,1.4,0.0718897340504598,0.888738301598888,0.01,3857.5507940731,-1185.039542763,0.0,80678.4445703403
11,17,0.839694040334373,0.5121,0.327594040334373,exclude,0.1,1.4,0.0718897340504598,0.888738301598888,0.01,3857.5507940731,-1185.039542763,0.0,80678.4445703403
11,18,0.929041904610743,0.5282,0.400841904610743,exclude,0.1,1.4,0.0718897340504598,0.888738301598888,0.01,3857.5507940731,-1185.039542763,0.0,80678.4445703403
12,7,0.659695411471645,0.4962,0.16349541147164504,exclude,0.05,1.4,0.0691962778307432,0.950068051981146,0.02,3557.54529466156,-1036.809779726,0.0,84974.7150327665
12,10,0.611117193043008,0.5121,0.09901719304300804,exclude,0.05,1.4,0.0691962778307432,0.950068051981146,0.02,3557.54529466156,-1036.809779726,0.0,84974.7150327665
12,14,0.50146100858546,0.4962,0.005261008585460081,exclude,0.05,1.4,0.0691962778307432,0.950068051981146,0.02,3557.54529466156,-1036.809779726,0.0,84974.7150327665
12,17,0.857307582187031,0.5121,0.34520758218703096,exclude,0.05,1.4,0.0691962778307432,0.950068051981146,0.02,3557.54529466156,-1036.809779726,0.0,84974.7150327665
12,18,0.937617819132526,0.5282,0.40941781913252595,exclude,0.05,1.4,0.0691962778307432,0.950068051981146,0.02,3557.54529466156,-1036.809779726,0.0,84974.7150327665
14,7,0.496214962497131,0.4962,1.4962497131010277e-05,include,0.2,1.2,0.0561650364615546,0.798761897930364,0.005,3601.47079047929,-1026.2794476995,0.0,79924.0205690898
14,10,0.550407792534292,0.5121,0.03830779253429195,include,0.2,1.2,0.0561650364615546,0.798761897930364,0.005,3601.47079047929,-1026.2794476995,0.0,79924.0205690898
14,14,0.49570807477771,0.4962,-0.0004919252222899684,include,0.2,1.2,0.0561650364615546,0.798761897930364,0.005,3601.47079047929,-1026.2794476995,0.0,79924.0205690898
14,17,0.714136869051701,0.5121,0.20203686905170104,include,0.2,1.2,0.0561650364615546,0.798761897930364,0.005,3601.47079047929,-1026.2794476995,0.0,79924.0205690898
14,18,0.729939191814359,0.5282,0.20173919181435895,include,0.2,1.2,0.0561650364615546,0.798761897930364,0.005,3601.47079047929,-1026.2794476995,0.0,79924.0205690898
15,7,0.656823503198417,0.4962,0.160623503198417,exclude,0.35,1.4,0.0711184972794447,0.862961384257733,0.025,3608.75195887033,-1055.14323991,0.0,80730.1358700871
15,10,0.530951489770925,0.5121,0.01885148977092499,exclude,0.35,1.4,0.0711184972794447,0.862961384257733,0.025,3608.75195887033,-1055.14323991,0.0,80730.1358700871
15,14,0.503784509596559,0.4962,0.007584509596558986,exclude,0.35,1.4,0.0711184972794447,0.862961384257733,0.025,3608.75195887033,-1055.14323991,0.0,80730.1358700871
15,17,0.673309918350335,0.5121,0.16120991835033505,exclude,0.35,1.4,0.0711184972794447,0.862961384257733,0.025,3608.75195887033,-1055.14323991,0.0,80730.1358700871
15,18,0.717226019237405,0.5282,0.18902601923740503,exclude,0.35,1.4,0.0711184972794447,0.862961384257733,0.025,3608.75195887033,-1055.14323991,0.0,80730.1358700871
18,7,0.65644805337692,0.4962,0.16024805337692005,exclude,0.2,1.4,0.0805641581056603,0.868084063286185,0.01,3632.80312593481,-1062.6292457545,0.0,80610.4321390939
18,10,0.570964304981647,0.5121,0.058864304981646964,exclude,0.2,1.4,0.0805641581056603,0.868084063286185,0.01,3632.80312593481,-1062.6292457545,0.0,80610.4321390939
18,14,0.500191864100091,0.4962,0.003991864100091003,exclude,0.2,1.4,0.0805641581056603,0.868084063286185,0.01,3632.80312593481,-1062.6292457545,0.0,80610.4321390939
18,17,0.742632468631247,0.5121,0.230532468631247,exclude,0.2,1.4,0.0805641581056603,0.868084063286185,0.01,3632.80312593481,-1062.6292457545,0.0,80610.4321390939
18,18,0.866911091481792,0.5282,0.338711091481792,exclude,0.2,1.4,0.0805641581056603,0.868084063286185,0.01,3632.80312593481,-1062.6292457545,0.0,80610.4321390939
19,7,0.667206561041306,0.4962,0.17100656104130607,exclude,0.1,1.3,0.0668607539465371,0.874661383118216,0.005,3596.39755885562,-1054.562019507,0.0,96094.9639158855
19,10,0.613952563200613,0.5121,0.10185256320061298,exclude,0.1,1.3,0.0668607539465371,0.874661383118216,0.005,3596.39755885562,-1054.562019507,0.0,96094.9639158855
19,14,0.501262757950184,0.4962,0.005062757950184071,exclude,0.1,1.3,0.0668607539465371,0.874661383118216,0.005,3596.39755885562,-1054.562019507,0.0,96094.9639158855
19,17,0.847600801929346,0.5121,0.33550080192934595,exclude,0.1,1.3,0.0668607539465371,0.874661383118216,0.005,3596.39755885562,-1054.562019507,0.0,96094.9639158855
19,18,0.943989826097285,0.5282,0.415789826097285,exclude,0.1,1.3,0.0668607539465371,0.874661383118216,0.005,3596.39755885562,-1054.562019507,0.0,96094.9639158855
21,7,0.658321778566315,0.4962,0.16212177856631504,exclude,0.15,1.4,0.0959581470388003,0.839962630725593,0.025,3547.24373990329,-1095.8954636493,0.0,79755.5637788664
21,10,0.612244438304557,0.5121,0.10014443830455699,exclude,0.15,1.4,0.0959581470388003,0.839962630725593,0.025,3547.24373990329,-1095.8954636493,0.0,79755.5637788664
21,14,0.506731978633746,0.4962,0.010531978633745998,exclude,0.15,1.4,0.0959581470388003,0.839962630725593,0.025,3547.24373990329,-1095.8954636493,0.0,79755.5637788664
21,17,0.824819443819156,0.5121,0.31271944381915595,exclude,0.15,1.4,0.0959581470388003,0.839962630725593,0.025,3547.24373990329,-1095.8954636493,0.0,79755.5637788664
21,18,0.931104809491444,0.5282,0.402904809491444,exclude,0.15,1.4,0.0959581470388003,0.839962630725593,0.025,3547.24373990329,-1095.8954636493,0.0,79755.5637788664
22,7,0.525076122250134,0.4962,0.02887612225013403,include,0.15,1.3,0.0968057014835817,0.781708091051952,0.015,3510.85723523673,-1074.6354666096,0.0,80569.3412497438
22,10,0.594323564243606,0.5121,0.082223564243606,include,0.15,1.3,0.0968057014835817,0.781708091051952,0.015,3510.85723523673,-1074.6354666096,0.0,80569.3412497438
22,14,0.501754440668524,0.4962,0.005554440668524063,include,0.15,1.3,0.0968057014835817,0.781708091051952,0.015,3510.85723523673,-1074.6354666096,0.0,80569.3412497438
22,17,0.812045084624748,0.5121,0.299945084624748,include,0.15,1.3,0.0968057014835817,0.781708091051952,0.015,3510.85723523673,-1074.6354666096,0.0,80569.3412497438
22,18,0.883367947471389,0.5282,0.355167947471389,include,0.15,1.3,0.0968057014835817,0.781708091051952,0.015,3510.85723523673,-1074.6354666096,0.0,80569.3412497438
23,7,0.675723583601121,0.4962,0.17952358360112097,exclude,0.05,1.2,0.0635450800856273,0.706251086046443,0.025,3618.39032070253,-1018.258925,0.0,84985.7330657985
23,10,0.618214209718252,0.5121,0.10611420971825203,exclude,0.05,1.2,0.0635450800856273,0.706251086046443,0.025,3618.39032070253,-1018.258925,0.0,84985.7330657985
23,14,0.499577845430332,0.4962,0.003377845430332038,exclude,0.05,1.2,0.0635450800856273,0.706251086046443,0.025,3618.39032070253,-1018.258925,0.0,84985.7330657985
23,17,0.86637132702378,0.5121,0.35427132702377995,exclude,0.05,1.2,0.0635450800856273,0.706251086046443,0.025,3618.39032070253,-1018.258925,0.0,84985.7330657985
23,18,0.945983400853603,0.5282,0.417783400853603,exclude,0.05,1.2,0.0635450800856273,0.706251086046443,0.025,3618.39032070253,-1018.258925,0.0,84985.7330657985
24,7,0.657651776058668,0.4962,0.161451776058668,exclude,0.3,1.4,0.0995839962657021,0.891782015878509,0.01,3552.93154775803,-1039.4060566199,0.0,79713.7641222541
24,10,0.569573180925385,0.5121,0.057473180925385,exclude,0.3,1.4,0.0995839962657021,0.891782015878509,0.01,3552.93154775803,-1039.4060566199,0.0,79713.7641222541
24,14,0.508681089096295,0.4962,0.012481089096294973,exclude,0.3,1.4,0.0995839962657021,0.891782015878509,0.01,3552.93154775803,-1039.4060566199,0.0,79713.7641222541
24,17,0.78186330085236,0.5121,0.26976330085236,exclude,0.3,1.4,0.0995839962657021,0.891782015878509,0.01,3552.93154775803,-1039.4060566199,0.0,79713.7641222541
24,18,0.884180549944901,0.5282,0.355980549944901,exclude,0.3,1.4,0.0995839962657021,0.891782015878509,0.01,3552.93154775803,-1039.4060566199,0.0,79713.7641222541
25,7,0.521765831859211,0.4962,0.02556583185921102,include,0.25,1.2,0.0770791170864455,0.938848765182386,0.01,3597.15462819328,-1047.7581803,0.0,79802.9305971194
25,10,0.550198802861577,0.5121,0.038098802861576964,include,0.25,1.2,0.0770791170864455,0.938848765182386,0.01,3597.15462819328,-1047.7581803,0.0,79802.9305971194
25,14,0.501981630634744,0.4962,0.005781630634744017,include,0.25,1.2,0.0770791170864455,0.938848765182386,0.01,3597.15462819328,-1047.7581803,0.0,79802.9305971194
25,17,0.704935277285635,0.5121,0.192835277285635,include,0.25,1.2,0.0770791170864455,0.938848765182386,0.01,3597.15462819328,-1047.7581803,0.0,79802.9305971194
25,18,0.768410566225356,0.5282,0.24021056622535597,include,0.25,1.2,0.0770791170864455,0.938848765182386,0.01,3597.15462819328,-1047.7581803,0.0,79802.9305971194
27,7,0.520707846286617,0.4962,0.024507846286617063,include,0.15,1.4,0.0889048447406034,0.805811118293605,0.02,3522.75086185687,-1077.702346037,0.0,80608.106753958
27,10,0.59038193539844,0.5121,0.07828193539843997,include,0.15,1.4,0.0889048447406034,0.805811118293605,0.02,3522.75086185687,-1077.702346037,0.0,80608.106753958
27,14,0.501047481561668,0.4962,0.004847481561668032,include,0.15,1.4,0.0889048447406034,0.805811118293605,0.02,3522.75086185687,-1077.702346037,0.0,80608.106753958
27,17,0.782890698475838,0.5121,0.27079069847583803,include,0.15,1.4,0.0889048447406034,0.805811118293605,0.02,3522.75086185687,-1077.702346037,0.0,80608.106753958
27,18,0.838779634368553,0.5282,0.31057963436855296,include,0.15,1.4,0.0889048447406034,0.805811118293605,0.02,3522.75086185687,-1077.702346037,0.0,80608.106753958
29,7,0.517176526627213,0.4962,0.020976526627213055,include,0.1,1.4,0.0860258459041131,0.871404880987095,0.02,3651.26242115721,-1069.4560527002,0.0,80537.5614805547
29,10,0.597247693488488,0.5121,0.08514769348848805,include,0.1,1.4,0.0860258459041131,0.871404880987095,0.02,3651.26242115721,-1069.4560527002,0.0,80537.5614805547
29,14,0.501421053873146,0.4962,0.0052210538731459755,include,0.1,1.4,0.0860258459041131,0.871404880987095,0.02,3651.26242115721,-1069.4560527002,0.0,80537.5614805547
29,17,0.797922855883702,0.5121,0.28582285588370204,include,0.1,1.4,0.0860258459041131,0.871404880987095,0.02,3651.26242115721,-1069.4560527002,0.0,80537.5614805547
